Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
GFP,100,51248,14.235555555555555,A8,259,0.032034632034632034,485,515
GFP,100,51248,14.235555555555555,A9,278,0.03438466295609153,485,515
GFP,100,51248,14.235555555555555,A10,273,0.033766233766233764,485,515
GFP,100,51248,14.235555555555555,A11,264,0.0326530612244898,485,515
GFP,100,51248,14.235555555555555,A12,267,0.033024118738404454,485,515
GFP,100,51248,14.235555555555555,B1,290,0.035868893011750155,485,515
GFP,100,51248,14.235555555555555,B2,289,0.035745207173778604,485,515
GFP,100,51248,14.235555555555555,B3,301,0.03722943722943723,485,515
GFP,100,51248,14.235555555555555,B4,284,0.03512677798392084,485,515
GFP,100,51248,14.235555555555555,B5,257,0.03178726035868893,485,515
GFP,100,51248,14.235555555555555,B6,269,0.03327149041434756,485,515
GFP,100,51248,14.235555555555555,B7,248,0.03067408781694496,485,515
GFP,100,51248,14.235555555555555,B8,298,0.036858379715522575,485,515
GFP,100,51248,14.235555555555555,B9,279,0.03450834879406308,485,515
GFP,100,51248,14.235555555555555,B10,263,0.03252937538651824,485,515
GFP,100,51248,14.235555555555555,B11,278,0.03438466295609153,485,515
GFP,100,51248,14.235555555555555,B12,307,0.03797155225726654,485,515
GFP,100,51248,14.235555555555555,C1,420,0.05194805194805195,485,515
GFP,100,51248,14.235555555555555,C2,385,0.047619047619047616,485,515
GFP,100,51248,14.235555555555555,C3,457,0.05652442795299938,485,515
GFP,100,51248,14.235555555555555,C4,418,0.05170068027210884,485,515
GFP,100,51248,14.235555555555555,C5,421,0.0520717377860235,485,515
GFP,100,51248,14.235555555555555,C6,243,0.030055658627087197,485,515
GFP,100,51248,14.235555555555555,C7,441,0.05454545454545454,485,515
GFP,100,51248,14.235555555555555,C8,412,0.05095856524427953,485,515
GFP,100,51248,14.235555555555555,C9,321,0.03970315398886828,485,515
GFP,100,51248,14.235555555555555,C10,400,0.049474335188620905,485,515
GFP,100,51248,14.235555555555555,C11,425,0.05256648113790971,485,515
GFP,100,51248,14.235555555555555,C12,287,0.0354978354978355,485,515
GFP,100,51248,14.235555555555555,D1,3517,0.4350030921459493,485,515
GFP,100,51248,14.235555555555555,D2,3102,0.3836734693877551,485,515
